grubhub_slug,grubhub_business_hours,ubereats_slug,ubereats_business_hours,is_out_range
theburgers_heavenlyma_gh,6720,theburgerstack_chelseafinefood_ue,1049,Out of Range
thepancakesnob_heavenlyma_gh,7140,thepancakesnob_1stavegourmetde_ue,1080,Out of Range
icecreamsu_americanch_gh,7140,icecreamsuperst_allnitepizza_ue,1080,Out of Range
villageque_miyucatan_gh,10080,villagequesadil_lemontreegourme_ue,1439,Out of Range
burritoloversba_princedelimarke_gh,9090,burritoloversba_princedelimarke_ue,1439,Out of Range
halalpastaloung_frescopizzagril_gh,7995,halalpasta_frescopizz_ue,1140,Out of Range
jjsphillycheese_lincolngourmetd_gh,10080,jjsphillycheese_lincolngourmetd_ue,1439,Out of Range
juliasjui_plazamarke_gh,7560,juliasjuiceshac_wesamdeli_ue,7560,In Range
fionaspan_remedydine_gh,5640,fionaspancakeba_1upbistro_ue,540,Out of Range
ambrosialw_sicilianpi_gh,6300,ambrosialwings_michaelangelosp_ue,600,Out of Range
jrsphilly_sicilianpi_gh,5880,jrsphillycheese_plazamarketquee_ue,5033,Out of Range
lvtacobar_allnitepiz_gh,4140,lvtacobar_mrpizzaman_ue,690,Out of Range
jackschees_tlkitche_gh,4200,jackscheesestea_gaters_ue,5040,Out of Range
devilshot_seaportdel_gh,5580,devilshotwings_farmerspizzagri_ue,855,Out of Range
birdsburg_paninigril_gh,7560,birdsburgerbar_seaportdeli_ue,10073,Out of Range
